,index,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,name_file_csv,Num Executors,Num Cores,Executor Memory,Driver Memory,Percentage,Val Accuracy,Test Accuracy,TIME_Feature Engineering,TIME_Count Rows,TIME_Pipeline Fit,TIME_Validation,TIME_Test,TIME_Final Time,TIME_Final Time supressed count rows,name_file_log
0,0,48,3335,296643,289227,9282026,7207487,121688,37524,396,360945,364,17413,5454270,0,0,224964184326,818191181,184500655087,0,0,620970721,82699,9994,72705,26653147652,3330847624,23322300028,0,26610870097,619995075,0.01perc-12ex-3core-metrics-stagemetrics,12,3, 14g, 4g,0.01,0.8752370164751023,0.877,0.6818,3.09804,167.06423,0.08612,0.06167,299.44648,296.34843,0.01perc-12ex-3core-metrics
1,0,48,3335,268609,261312,8983813,7074616,125643,37704,441,330407,276,16215,5453315,0,0,224199575704,818191181,179371511552,0,0,620970687,82710,10164,72546,26655096194,3329588231,23325507963,0,26612818646,619995041,0.01perc-16ex-3core-metrics-stagemetrics,16,3, 14g, 4g,0.01,0.873052450615717,0.877,0.6586,3.28351,156.16618,0.0809,0.06606,271.47372,268.19021,0.01perc-16ex-3core-metrics
2,0,48,2877,536296,528835,8718133,6073182,67491,34830,260,280352,948,13496,5458537,0,0,212143811560,818191181,139872372901,0,0,620970608,68380,24100,44280,26651631354,11162325389,15489305965,0,26609318502,619994962,0.01perc-32ex-2core-metrics-stagemetrics,32,2, 14g, 4g,0.01,0.8756875639106108,0.877,0.6808,4.48412,451.13614,0.09067,0.0587,539.1079,534.62377,0.01perc-32ex-2core-metrics
3,0,48,3684,380723,373081,11026042,8109492,174331,40532,1155,372910,627,22593,5457772,0,0,229728184823,818191181,174322637028,0,0,620970983,96420,12075,84345,26654077307,3334622843,23319454464,0,26611797794,619995337,0.01perc-8ex-5core-metrics-stagemetrics,8,5, 14g, 4g,0.01,0.8743564060389436,0.877,0.682,3.37994,252.83235,0.05999,0.05649,383.52967,380.14974,0.01perc-8ex-5core-metrics
4,0,48,5959,477071,469286,18588378,14815408,141719,54983,624,778684,59431,36681,5627661,0,0,441800939181,1652815006,369025279498,0,0,1252798208,276490,47262,229228,53972970868,10474063349,43498907519,0,53933168137,1251884142,0.02perc-12ex-3core-metrics-stagemetrics,12,3, 14g, 4g,0.02,0.8640905267966122,0.878,0.6757,3.27705,374.43311,0.08213,0.05995,480.34087,477.06381,0.02perc-12ex-3core-metrics
5,0,48,5959,444616,436836,18862433,14696609,140219,54853,755,720724,442,36676,5609019,0,0,447877749395,1652815006,343258544819,0,0,1252796068,276658,34028,242630,53973874344,6771218538,47202655806,0,53934071613,1251882002,0.02perc-16ex-3core-metrics-stagemetrics,16,3, 14g, 4g,0.02,0.8648707360684866,0.878,0.7639,3.30547,343.54546,0.08552,0.06133,447.9053,444.59984,0.02perc-16ex-3core-metrics
6,0,48,5679,595424,587680,13937840,12404914,91584,49034,272,478878,2149,26980,5627656,0,0,435824591465,1652815006,345791918084,0,0,1252797935,260097,65223,194874,53968652837,20414770501,33553882336,0,53928942939,1251883869,0.02perc-32ex-2core-metrics-stagemetrics,32,2, 14g, 4g,0.02,0.8652658453877126,0.877,0.7218,5.12102,490.85151,0.06384,0.06314,598.49742,593.3764,0.02perc-32ex-2core-metrics
7,0,48,6460,435456,427685,26961902,13937629,231097,58930,2191,1336045,2235,60354,5624575,0,0,461797733900,1652815006,369113370890,0,0,1252798238,307173,38995,268178,53972482927,6767894487,47204588440,0,53932679023,1251884172,0.02perc-8ex-5core-metrics-stagemetrics,8,5, 14g, 4g,0.02,0.8639329835372507,0.878,0.6636,3.51257,335.67182,0.08374,0.05819,438.63118,435.11861,0.02perc-8ex-5core-metrics
8,0,48,16244,725884,717200,44033008,35814968,201669,115328,1229,2010460,1883,97083,6283090,0,0,1261645477072,4155715598,959087937134,0,0,3148563372,2101204,262450,1838754,137504587859,17255161567,120249426292,0,137472413483,3147820749,0.05perc-12ex-3core-metrics-stagemetrics,12,3, 14g, 4g,0.05,0.8715522404579605,0.876,0.6861,3.848,656.82381,0.08762,0.05731,729.94088,726.09288,0.05perc-12ex-3core-metrics
9,0,48,16244,862112,853394,45329145,36742678,204298,116686,960,2180150,12985,101020,6304991,0,0,1259478336782,4155715598,958268759177,0,0,3148572849,2101479,262219,1839260,137536671004,17220428938,120316242066,0,137504496395,3147830226,0.05perc-16ex-3core-metrics-stagemetrics,16,3, 14g, 4g,0.05,0.8721198474128485,0.877,0.6891,3.91823,694.08252,0.07667,0.05519,866.29651,862.37828,0.05perc-16ex-3core-metrics
10,0,48,16132,1085754,1076736,36032863,32069819,144762,101153,340,1355992,10459,71021,6285973,0,0,1254393920828,4155715598,869516869624,0,0,3148565282,2102087,332511,1769576,137512193266,32271633246,105240560020,0,137480018476,3147822659,0.05perc-32ex-2core-metrics-stagemetrics,32,2, 14g, 4g,0.05,0.87160406636164,0.876,0.7097,6.51284,918.28755,0.07635,0.05627,1089.77805,1083.2652,0.05perc-32ex-2core-metrics
11,0,48,16433,805788,797053,71312247,36346032,308215,119167,2794,3661043,8063,163553,6313869,0,0,1264491932514,4155715598,956427219892,0,0,3148573391,2114876,263882,1850994,137556315571,17202434242,120353881329,0,137524145331,3147830768,0.05perc-8ex-5core-metrics-stagemetrics,8,5, 14g, 4g,0.05,0.8720564999351593,0.877,0.7101,4.04133,670.04614,0.08854,0.0588,809.80407,805.76274,0.05perc-8ex-5core-metrics
